city,year,month,t2m,t2m_max,t2m_min,prec_acum
Puerto Ayacucho,1981,1,25.15,31.22,19.07,10.55
Puerto Ayacucho,1981,2,25.94,33.79,20.44,116.02
Puerto Ayacucho,1981,3,26.86,36.18,21.48,73.83
Puerto Ayacucho,1981,4,25.96,36.08,21.01,279.49
Puerto Ayacucho,1981,5,24.94,29.52,21.77,369.14
Puerto Ayacucho,1981,6,24.72,29.12,21.71,522.07
Puerto Ayacucho,1981,7,24.05,28.91,19.65,363.87
Puerto Ayacucho,1981,8,24.81,29.91,20.44,432.42
Puerto Ayacucho,1981,9,24.91,30.6,20.69,337.5
Puerto Ayacucho,1981,10,25.12,29.76,21.59,189.84
Puerto Ayacucho,1981,11,25.53,30.2,21.83,121.29
Puerto Ayacucho,1981,12,25.17,29.9,21.27,94.92
Puerto Ayacucho,1982,1,24.63,30.19,18.79,10.55
Puerto Ayacucho,1982,2,26.48,34.94,21.7,15.82
Puerto Ayacucho,1982,3,27.64,36.03,22.1,84.38
Puerto Ayacucho,1982,4,25.48,32.27,21.58,332.23
Puerto Ayacucho,1982,5,24.85,29.87,21.96,358.59
Puerto Ayacucho,1982,6,24.9,28.9,21.65,427.15
Puerto Ayacucho,1982,7,24.33,28.81,21.25,506.25
Puerto Ayacucho,1982,8,24.89,29.63,21.66,321.68
Puerto Ayacucho,1982,9,24.95,30.35,21.31,263.67
Puerto Ayacucho,1982,10,24.92,29.49,20.54,205.66
Puerto Ayacucho,1982,11,25.23,29.71,21.26,100.2
Puerto Ayacucho,1982,12,25.01,29.71,20.22,79.1
Puerto Ayacucho,1983,1,25.8,31.49,20.59,42.19
Puerto Ayacucho,1983,2,27.76,37.74,19.9,73.83
Puerto Ayacucho,1983,3,29.22,40.19,21.9,26.37
Puerto Ayacucho,1983,4,26.33,36.58,21.7,279.49
Puerto Ayacucho,1983,5,25.33,30.3,22.06,601.17
Puerto Ayacucho,1983,6,25.08,29.58,21.69,490.43
Puerto Ayacucho,1983,7,25.25,29.76,21.48,411.33
Puerto Ayacucho,1983,8,24.78,29.69,21.06,374.41
Puerto Ayacucho,1983,9,25.72,30.61,22.07,274.22
Puerto Ayacucho,1983,10,24.81,29.87,21.41,226.76
Puerto Ayacucho,1983,11,25.16,29.89,21.51,131.84
Puerto Ayacucho,1983,12,24.55,28.87,20.37,168.75
Puerto Ayacucho,1984,1,24.4,29.26,19.01,94.92
